Time: 1393.62, Detected Patient: 5031, DetectionCount: 1
Time: 1399.85, Detected Patient: 5050, DetectionCount: 1
Time: 1404.94, Detected Patient: 5060, DetectionCount: 1
Time: 1412.08, Detected Patient: 5054, DetectionCount: 1
Time: 1418.81, Detected Patient: 5104, DetectionCount: 1
Time: 1424.88, Detected Patient: 5105, DetectionCount: 1
Time: 1428.37, Detected Patient: 5101, DetectionCount: 1
Time: 1429.87, Detected Patient: 5090, DetectionCount: 1
Time: 1430.57, Detected Patient: 5152, DetectionCount: 1
Time: 1434.24, Detected Patient: 5077, DetectionCount: 1
Time: 1456.19, Detected Patient: 5229, DetectionCount: 1
Time: 1457.50, Detected Patient: 5215, DetectionCount: 1
Time: 1459.50, Detected Patient: 5019, DetectionCount: 1
Time: 1474.47, Detected Patient: 5258, DetectionCount: 1
Time: 1477.20, Detected Patient: 5221, DetectionCount: 1
Time: 1478.54, Detected Patient: 5131, DetectionCount: 1
Time: 1483.76, Detected Patient: 5296, DetectionCount: 1
Time: 1485.88, Detected Patient: 5227, DetectionCount: 1
Time: 1488.40, Detected Patient: 5329, DetectionCount: 1
Time: 1488.98, Detected Patient: 5342, DetectionCount: 1
Time: 1490.94, Detected Patient: 5332, DetectionCount: 1
Time: 1492.01, Detected Patient: 5334, DetectionCount: 1
Time: 1496.92, Detected Patient: 5319, DetectionCount: 1
Time: 1496.95, Detected Patient: 5390, DetectionCount: 1
Time: 1498.34, Detected Patient: 5266, DetectionCount: 1
Time: 1506.69, Detected Patient: 5374, DetectionCount: 1
Time: 1517.64, Detected Patient: 5413, DetectionCount: 1
Time: 1526.02, Detected Patient: 5456, DetectionCount: 1
Time: 1526.49, Detected Patient: 5313, DetectionCount: 1
Time: 1529.19, Detected Patient: 5458, DetectionCount: 1
Time: 1530.60, Detected Patient: 5467, DetectionCount: 1
